Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PanelB_LAB1_LIB1_R1	78.17191720127344	47.0	149.9141560331256	27.27272727272727	40255875.0
PanelB_LAB1_LIB1_R2	76.3614928544754	47.0	149.9161018112263	18.181818181818183	40255875.0
PanelB_LAB1_LIB2_R1	80.49059100593212	46.0	149.92323475242372	27.27272727272727	49442399.0
PanelB_LAB1_LIB2_R2	78.87656666158662	46.0	149.92597220049942	18.181818181818183	49442399.0
PanelB_LAB1_LIB3_R1	65.11374513889307	46.0	149.6838782405375	27.27272727272727	37310940.0
PanelB_LAB1_LIB3_R2	64.16570509717755	46.0	149.67963436461264	18.181818181818183	37310940.0
PanelB_LAB1_LIB4_R1	77.9566192556294	47.0	149.8272379521501	27.27272727272727	53522849.0
PanelB_LAB1_LIB4_R2	75.98745642712782	47.0	149.82706522218203	18.181818181818183	53522849.0
PanelB_LAB2_LIB1_R1	78.78311570488482	46.0	150.07738836305163	27.27272727272727	48552093.0
PanelB_LAB2_LIB1_R2	77.19801887543987	46.0	150.0772711693397	18.181818181818183	48552093.0
PanelB_LAB2_LIB2_R1	78.73384813005563	46.0	150.10227985578604	27.27272727272727	47960402.0
PanelB_LAB2_LIB2_R2	76.84572630168185	46.0	150.10229678641977	18.181818181818183	47960402.0
PanelB_LAB2_LIB3_R1	75.92537492216725	46.0	150.14526176829145	27.27272727272727	36495081.0
PanelB_LAB2_LIB3_R2	73.02355726646402	46.0	150.1482818465316	18.181818181818183	36495081.0
PanelB_LAB2_LIB4_R1	76.3543061340603	46.0	150.09296494525327	27.27272727272727	38248686.0
PanelB_LAB2_LIB4_R2	74.69129538736087	46.0	150.0946110148725	18.181818181818183	38248686.0
PanelB_LAB3_LIB1_R1	78.9174499159767	47.0	146.62353684525	18.181818181818183	52231061.0
PanelB_LAB3_LIB1_R2	75.68455621009684	47.0	146.64866612608157	18.181818181818183	52231061.0
PanelB_LAB3_LIB2_R1	77.91092413450416	47.0	146.66674608239646	18.181818181818183	48441285.0
PanelB_LAB3_LIB2_R2	76.31695012731836	47.0	146.69510129634259	18.181818181818183	48441285.0
PanelB_LAB3_LIB3_R1	73.93705738823613	46.0	146.4188555084241	18.181818181818183	44022255.0
PanelB_LAB3_LIB3_R2	70.67289449019204	46.0	146.45154308883087	18.181818181818183	44022255.0
PanelB_LAB3_LIB4_R1	73.40315041895775	47.0	146.52379964785973	18.181818181818183	39894897.0
PanelB_LAB3_LIB4_R2	73.32785095393601	47.0	146.5258655762415	18.181818181818183	39894897.0
